"","city","township","village","fullname","Nb","Nr","Nt"
"312","新北市","板橋區","介壽里","新北市板橋區介壽里",1,1,1
"313","新北市","板橋區","永安里","新北市板橋區永安里",3,3.5004,3
"314","新北市","板橋區","松柏里","新北市板橋區松柏里",6.3333,9.5027,6
"315","新北市","板橋區","華江里","新北市板橋區華江里",1,1,1
"316","新北市","板橋區","福星里","新北市板橋區福星里",1.0001,1.0001,1
"317","新北市","板橋區","懷翠里","新北市板橋區懷翠里",14,16.5851,14
"318","新北市","淡水區","屯山里","新北市淡水區屯山里",22,31.0557,22
"319","新北市","淡水區","正德里","新北市淡水區正德里",10,15.79,10
"320","新北市","淡水區","崁頂里","新北市淡水區崁頂里",169.5,38.5794,31
"321","新北市","淡水區","新義里","新北市淡水區新義里",3,3.9997,3
"322","新北市","淡水區","學府里","新北市淡水區學府里",8,8.9751,8
"323","新北市","淡水區","興仁里","新北市淡水區興仁里",71,15.2835,14
"324","新北市","深坑區","埔新里","新北市深坑區埔新里",12,16.7768,12
"325","新北市","深坑區","萬福里","新北市深坑區萬福里",12,15.6113,12
"326","新北市","新店區","大豐里","新北市新店區大豐里",3,3.5004,3
"327","新北市","新店區","屈尺里","新北市新店區屈尺里",97.6667,35.4219,26
"328","新北市","新店區","忠孝里","新北市新店區忠孝里",0,0,0
"329","新北市","新店區","明德里","新北市新店區明德里",0,0,0
